,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,val_loss,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_precision,val_recall,val_auc
0,"[4.100782871246338, 2.374830961227417, 3.3477320671081543, 3.594679594039917, 1.0919086933135986]","[0.0, 0.0, 0.0, 0.0, 2.0]","[3.0, 10.0, 6.0, 14.0, 33.0]","[154.0, 148.0, 151.0, 141.0, 123.0]","[3.0, 2.0, 3.0, 5.0, 2.0]","[0.9624999761581421, 0.925000011920929, 0.9437500238418579, 0.8812500238418579, 0.78125]","[0.0, 0.0, 0.0, 0.0, 0.05714285746216774]","[0.0, 0.0, 0.0, 0.0, 0.5]","[0.4501062035560608, 0.20886075496673584, 0.387473464012146, 0.5587096810340881, 0.7588141560554504]","[0.10880596935749054, 0.15080055594444275, 0.6096848249435425, 0.14217524230480194, 1.1407771110534668]","[0.0, 0.0, 2.0, 0.0, 3.0]","[0.0, 0.0, 47.0, 3.0, 83.0]","[157.0, 157.0, 110.0, 154.0, 74.0]","[3.0, 3.0, 1.0, 3.0, 0.0]","[0.981249988079071, 0.981249988079071, 0.699999988079071, 0.9624999761581421, 0.48124998807907104]","[0.0, 0.0, 0.040816325694322586, 0.0, 0.03488372266292572]","[0.0, 0.0, 0.6666666865348816, 0.0, 1.0]","[0.7335456609725952, 0.5, 0.7261146903038025, 0.7388534545898438, 0.7261146306991577]"
1,"[2.123095750808716, 1.5063700675964355, 2.2964158058166504, 6.372537136077881, 2.1374452114105225]","[0.0, 0.0, 0.0, 0.0, 0.0]","[6.0, 7.0, 21.0, 38.0, 17.0]","[152.0, 152.0, 136.0, 118.0, 141.0]","[2.0, 1.0, 3.0, 4.0, 2.0]","[0.949999988079071, 0.949999988079071, 0.8500000238418579, 0.737500011920929, 0.8812500238418579]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.16455695033073425, 0.17610064148902893, 0.40764331817626953, 0.3469551205635071, 0.3765822649002075]","[0.16672579944133759, 0.17716939747333527, 0.1503376066684723, 1.5954787731170654, 0.13237442076206207]","[0.0, 0.0, 1.0, 3.0, 1.0]","[0.0, 0.0, 3.0, 93.0, 4.0]","[157.0, 157.0, 154.0, 64.0, 153.0]","[3.0, 3.0, 2.0, 0.0, 2.0]","[0.981249988079071, 0.981249988079071, 0.96875, 0.41874998807907104, 0.9624999761581421]","[0.0, 0.0, 0.25, 0.03125, 0.20000000298023224]","[0.0, 0.0, 0.3333333432674408, 1.0, 0.3333333432674408]","[0.8237792253494263, 0.5, 0.8195329308509827, 0.8142250776290894, 0.8121019601821899]"
2,"[5.773786544799805, 1.63633131980896, 0.024930043146014214, 3.109264373779297, 2.662705898284912]","[1.0, 0.0, 0.0, 0.0, 2.0]","[19.0, 18.0, 2.0, 4.0, 40.0]","[136.0, 141.0, 158.0, 152.0, 116.0]","[4.0, 1.0, 0.0, 4.0, 2.0]","[0.856249988079071, 0.8812500238418579, 0.987500011920929, 0.949999988079071, 0.737500011920929]","[0.05000000074505806, 0.0, 0.0, 0.0, 0.0476190485060215]","[0.20000000298023224, 0.0, 0.0, 0.0, 0.5]","[0.3819354474544525, 0.20440250635147095, 0.0, 0.44711536169052124, 0.6033653616905212]","[0.055449508130550385, 0.06343282014131546, 0.0726577490568161, 0.0769958645105362, 0.6256943345069885]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 60.0]","[159.0, 159.0, 159.0, 159.0, 99.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9937499761581421, 0.9937499761581421, 0.9937499761581421, 0.9937499761581421, 0.6187499761581421]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.5, 0.3553459048271179, 0.17610064148902893, 0.03773584961891174, 0.1257861852645874]"
3,"[1.4421497583389282, 0.8673020601272583, 2.1737475395202637, 1.0440902709960938, 2.3684017658233643]","[0.0, 0.0, 0.0, 3.0, 0.0]","[7.0, 1.0, 35.0, 25.0, 27.0]","[151.0, 158.0, 122.0, 131.0, 131.0]","[2.0, 1.0, 3.0, 1.0, 2.0]","[0.9437500238418579, 0.987500011920929, 0.762499988079071, 0.8374999761581421, 0.8187500238418579]","[0.0, 0.0, 0.0, 0.1071428582072258, 0.0]","[0.0, 0.0, 0.0, 0.75, 0.0]","[0.6281645894050598, 0.41194969415664673, 0.5265392661094666, 0.7956730127334595, 0.4161391854286194]","[2.0616331100463867, 0.19241343438625336, 9.630491256713867, 2.1569154262542725, 0.20301957428455353]","[4.0, 0.0, 4.0, 2.0, 0.0]","[155.0, 0.0, 156.0, 101.0, 7.0]","[1.0, 156.0, 0.0, 55.0, 149.0]","[0.0, 4.0, 0.0, 2.0, 4.0]","[0.03125, 0.9750000238418579, 0.02500000037252903, 0.35624998807907104, 0.9312499761581421]","[0.025157231837511063, 0.0, 0.02500000037252903, 0.019417475908994675, 0.0]","[1.0, 0.0, 1.0, 0.5, 0.0]","[0.48317307233810425, 0.5, 0.5, 0.4871794581413269, 0.4919871687889099]"
4,"[1.3860169649124146, 0.8057218790054321, 3.0335750579833984, 3.0058186054229736, 2.3745858669281006]","[0.0, 0.0, 0.0, 1.0, 0.0]","[7.0, 2.0, 8.0, 50.0, 26.0]","[151.0, 157.0, 149.0, 106.0, 132.0]","[2.0, 1.0, 3.0, 3.0, 2.0]","[0.9437500238418579, 0.981249988079071, 0.9312499761581421, 0.668749988079071, 0.824999988079071]","[0.0, 0.0, 0.0, 0.019607843831181526, 0.0]","[0.0, 0.0, 0.0, 0.25, 0.0]","[0.6803797483444214, 0.606918215751648, 0.4108280539512634, 0.5456730723381042, 0.23259493708610535]","[0.10621074587106705, 0.2668573260307312, 0.12516312301158905, 0.16799777746200562, 15.733990669250488]","[0.0, 0.0, 0.0, 0.0, 3.0]","[0.0, 0.0, 1.0, 1.0, 157.0]","[157.0, 157.0, 156.0, 156.0, 0.0]","[3.0, 3.0, 3.0, 3.0, 0.0]","[0.981249988079071, 0.981249988079071, 0.9750000238418579, 0.9750000238418579, 0.01875000074505806]","[0.0, 0.0, 0.0, 0.0, 0.01875000074505806]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.6709129810333252, 0.5, 0.6422505378723145, 0.5605095028877258, 0.5]"
